text_id,sentence,label
1_PHZH_8a10f9ae_e23bf532_4fcd40fc_57c4b296_6c2cf7e3_7a669003_introduction.txt,beabsichtigen Mithilfe Experte innen authentisch glaubwürdig Unterrichtsprojekt generieren schulisch Alltag Nutzen,3a
1_PHZH_2bb5e5c8_bc3c1032_e01a3e09_4fcd40fc_27c6f769_introduction.txt,Methode Empirische Arbeit qualitativ Zugang wählen,3d
1_PHZH_0e9f5c53_c53a9081_4fcd40fc_87e91429_7a669003_introduction.txt,folgend sollen erkenntnisleitend Fragestellung Arbeit aufführen,3b
1_PHZH_6b465eca_30c6c83d_2bb5e5c8_introduction.txt,institutionalisiert Angebot Seite Schule vorhanden Konflikt vorbeugen,0
1_PHZH_2014_MS1_1df949aa_9685d328_introduction.txt,anschliessend folgen zweiter theoretisch Teil Kapitel II zuerst Empfindung Wahrnehmung Gerechtigkeit Ungerechtigkeit beschäftigen beide fortwährend verknüpfen,3g
1_PHZH_87e91429_c53a9081_4fcd40fc_7a669003_e23e6810_introduction.txt,aufgrund neu Erkenntnis Keller-Schneider  danach verschieden Belastungstype erläutern,0
1_PHZH_574404cd_7a669003_4fcd40fc_0e7dd130_d76c66ea_introduction.txt,danach Forschungsdesign erläutern,3g
1_PHZH_574404cd_7a669003_4fcd40fc_0e7dd130_d76c66ea_introduction.txt,zudem Kompetenzorientierung Schulunterricht spätestens Einführung Lehrplan Sommer übergeordnet Bedeutung,1c
1_PHZH_b31c481e_81d3dc3c_373d4bbd_b88f304f_33b54baf_9b74fbe3_02062de0_90840986_025d0dab_introduction.txt,Art Entstehung Codesystem Methodenteil ausführen,3g
1_PHZH_87e91429_c53a9081_4fcd40fc_7a669003_e696c4b9_introduction.txt,erster Teil theoretisch Grundlage anschliessend Forschung legen,3g
1_PHZH_2014_MS1_540c5e93_introduction.txt,ausgehend dargestellt drei Argument bestehen Ziel vorliegend Untersuchung darin Liste Kompetenz hervorzubringen Situation Schulreise Klassenlager zuschneiden,3a
1_PHZH_8881d2aa_ Departement Sekarstufe I_3ee137a2_e01a3e09_introduction.txt,schreiben deutsch Geschichtswissenschaft zwingen Herausforderung stellen  Ort Nationalsozialismus deutsch Geschichte bestimmen,0
1_PHZH_2012_MS1_d30aa072_introduction.txt,Zeitpunkt Arbeit verfassten unterrichten B-Klasse Anliegen Tendenz entgegensetzen,0
1_PHZH_2014_MS1_6c80d44e_introduction.txt,Fokus biographisch Motiv frühzeitig Berufseinsteiger legen anhand Methode Sequenzanalyse Interviewmaterial analysieren,2a
1_PHZH_2014_MS1_540c5e93_introduction.txt,Frage beantworten erfolgen Kapitel Analyse Klärung Begriff Schulreise Klassenlager,3g
1_PHZH_87e91429_c53a9081_4fcd40fc_fb1cabbf_ Departement Sekarstufe I_introduction.txt,anhin vieler Gebiet hinsichtlich Entwicklungsaufgab untersuchen,1e
1_PHZH_2014_MS1_be36150e_39435396_introduction.txt,ebenfalls Thema Resilienz eingehen bestimmt Faktor Kind jugendliche suchtbelastet Familie ermöglichen unbeschadet Aufzuwachse sehen Kapitel .. Resilienz,3g
1_PHZH_8a10f9ae_e23bf532_4fcd40fc_57c4b296_6c2cf7e3_7a669003_introduction.txt,Punkt Arbeit Hilfe Experte innen absichern,0
